Company,Last valuation (US$ billions),Valuation date,Exit date,Exit reason,Exit valuation (US$ billions),Country,Founders
HomeAway ,1.4,October 2010 ,November 2016 ,Acquired ,3.9,United States ,
Hike Messenger ,1.4,August 2016[781] ,January 2021[814] ,Defunct ,,India ,Kavin Bharti Mittal 
Deezer ,1.4,January 2016[815] ,September 2016[816] ,Acquired ,,France ,
Jasper ,1.35,April 2014 ,February 2016 ,Acquired ,1.4,United States ,
Paidy ,1.32,March 2021[817] ,September 2021[818] ,Acquired ,2.7,Japan ,
eFront ,1.3,March 2019[819] ,May 2019[820] ,Acquired ,1.3,France ,
Sonder Corp. ,1.3,July 2020[821] ,January 2022[822] ,SPAC merger ,1.9[823] ,United States ,
Sunrun ,1.3,July 2016 ,August 2015 ,IPO ,1.4,United States ,
Solstice ,1.7,July 2018 ,December 2009 ,Acquired ,1.3,United States ,
Darktrace ,1.25,May 2018[824] ,April 2021[825] ,IPO ,2.37,United Kingdom ,
Okta ,1.2,March 2017 ,April 2017[826] ,IPO ,2.1,United States ,
Good Technology ,1.2,September 2014 ,September 2015 ,Acquired ,0.425,United States ,
BigBasket ,1.2,March 2019[827] ,February 2021[828] ,"Acquired by TATA Group 
IPO (coming soon by 2024 - 2025 FY) ",1.8,India ,"V. S. Sudhakar, Hari Menon, Vipul Parekh, Abhinay Choudhari, V. S. Ramesh "
Nykaa ,1.2,April 2020[829] ,November 2021[830] ,IPO ,7.4,India ,Falguni Nayar 
HeadSpin ,1.16,February 2020 ,August 2020[831] ,Devalued ,0.25,United States ,
Fab ,1.15,August 2013 ,March 2015 ,Acquired ,0.015,United States ,
Gilt Groupe ,1.15,February 2015 ,January 2016 ,Acquired ,0.25,United States ,
Vonage ,1.11,August 2014 ,May 2006 ,IPO ,2.65,United States ,
ShopClues ,1.1,January 2016 ,October 2019[832] ,Acquired ,0.1,India ,"Sanjay Sethi, Sandeep Aggarwal, Radhika Aggarwal "
Global Fashion Group ,1.1,July 2016[833] ,July 2019[834] ,IPO ,,Luxembourg ,
TuSimple ,1.1,February 2019[835] ,April 2021[836] ,IPO ,8.5,United States ,
Wheels Up ,1.1,August 2019[837] ,July 2021 ,SPAC merger ,2.1,United States ,
Zulily ,1.09,November 2012 ,October 2015 ,Acquired ,2.4,United States ,
Coupa ,1.08,June 2015 ,October 2016 ,IPO ,1.68,United States ,
LinkedIn ,1.06,February 2016 ,May 2011 ,IPO ,4.3,United States ,"Reid Hoffman, Eric Ly "
Twilio ,1.03,July 2015 ,June 2016 ,IPO ,1.2,United States ,"Jeff Lawson, John Wolthuis, Evan Cooke "
SimpliVity ,1.03,March 2015 ,January 2017 ,Acquired ,0.65,United States ,
Coveo ,1.1,November 2019 ,November 2021[838] ,IPO ,1.7,Canada ,
Kabam ,1+ ,December 2016 ,February 2017[839] ,Acquired ,0.8,Canada ,
Rent the Runway ,1+ ,March 2019[840] ,October 2021[841] ,IPO ,1.4,United States ,
CRF Health ,1,July 2018 ,July 2018 ,Acquisition[842] ,1,Finland ,"Timo Ahopelto, Jarkko Joki-Tokola, Jaakko Ollila "
MySQL ,1,January 2008 ,January 2008 ,Acquisition[843] ,1,Finland ,Michael Widenius 
Heptagon ,1,February 2018 ,February 2018 ,Acquisition[844] ,1,Finland ,Christian Tang-Jespersen 
Zoom ,1,January 2017 ,April 2019 ,IPO[845] ,9,United States ,
Shopify ,1,December 2013 ,May 2015 ,IPO ,1.3,Canada ,"Tobias Lütke, Scott Lake "
Truecaller ,1,July 2015[846] ,October 2021[847] ,IPO ,2,Sweden ,Alan Mamedi and Nami Zarringhalam 
Kik ,1+ ,August 2015 ,October 2019 ,Acquired ,,Canada ,
AirWatch ,1,May 2013 ,January 2014 ,Acquired ,1.54,United States ,
Lynda.com ,1,January 2015 ,April 2015 ,Acquired ,1.5,United States ,
New Relic ,1,April 2014 ,December 2014 ,IPO ,1.42,United States ,
Quotient Technology ,1,April 2016 ,March 2014 ,IPO ,1.17,United States ,
Shape Security ,1,September 2019[848] ,December 2019[849] ,Acquired ,1,United States ,
Futu Holdings ,1+ ,June 2017[152] ,March 2019[850] ,IPO ,,China ,
Peak Games ,1+ ,,May 2020[851] ,Acquired ,1.8,Turkey ,
Skyscanner ,1.6,February 2016[852] ,November 2016[853] ,Acquired ,1.74,United Kingdom ,
Blue Apron ,2,January 2015[5] ,June 2017[854] ,IPO ,2,United States ,
Stitch Fix ,,,November 2017[855][856] ,IPO ,1.5,United States ,
Shazam ,1,January 2015[857] ,December 2017[858] ,Acquired ,0.4,United Kingdom ,
Flywire ,1+ ,February 2020[859] ,May 2021[860] ,IPO ,2.4,United States ,
Mobike ,3,July 2017[861] ,April 2018[862] ,Acquired ,2.7,China ,
Ele.me ,6,June 2017[152][863] ,April 2018[864] ,Acquired ,9.5,China ,
Duo Security ,1.17,October 2017[865] ,August 2018[866] ,Acquired ,2.35,United States ,
Bloom Energy ,2.83,January 2015[5] ,July 2018[867] ,IPO ,1.6,United States ,
Moderna Therapeutics ,7.5,February 2018[868] ,December 2018 ,IPO ,7.5,United States ,
Vlocity ,1,March 2019[869] ,February 2020[870] ,Acquired ,1.33,United States ,
JFrog ,1+ ,October 2018[871] ,September 2020[872] ,IPO ,3.9,Israel / United States ,
Glovo ,1+ ,December 2019[873] ,January 2022[874] ,Acquired ,2.6,Spain ,
Innovent Biologics ,1+ ,April 2018[152] ,November 2018[875] ,IPO ,2.1,China ,
iTutorGroup ,1+ ,August 2016[152] ,July 2019[876] ,Acquired ,,China ,
9F ,1+ ,March 2018[152] ,August 2019 ,IPO ,2.1,China ,
Fangdd.com ,1+ ,September 2015[152] ,November 2019[877] ,IPO ,1.2,China ,
36Kr Media ,1+ ,December 2017[152] ,November 2019[878] ,IPO ,0.67,China ,
Fanli ,1+ ,April 2015[152] ,March 2020[879] ,Direct listing ,,China ,
17Zuoye ,1+ ,March 2018[152] ,December 2020[880] ,IPO ,2.2,China ,
Zimi ,1+ ,February 2015[152] ,March 2021[881] ,Acquired ,0.4,China ,
QingCloud ,1+ ,June 2017[152] ,March 2021[882] ,IPO ,0.46,China ,
Novogene ,1+ ,November 2016[152] ,April 2021 ,IPO ,,China ,
MissFresh ,1+ ,December 2017[152] ,June 2021[883] ,IPO ,2.5,China ,
Essential Products ,1+ ,August 2017[884] ,February 2020[885] ,Defunct ,,United States ,
